H_ery_ID	peak_count	sig_peak_count	proportion_sig	SPU.hit	SPU.common_name	common_name	SPU.family	SPU.description	GRN	DE	PMC	sig_peak_count_ns	proportion_sig_ns
HER_43624.t1	1	0	0	SPU_007467	Sp-Taar6L	Taar6L	7TM GPCR_1 superfamily	trace amine-associated receptor 6-like; G-protein coupled receptor	FALSE	FALSE	FALSE	0	0
HER_43625.t1	3	0	0	SPU_016422	Sp-Haus5L	Haus5L	none	HAUS augmin-like complex subunit 5-like, Sp-Hypp_2261	FALSE	TRUE	FALSE	0	0
HER_43626.t1	1	0	0	SPU_028492	Sp-Gal3st1L_5	Gal3st1L_5	Gal-3-0_sulfotr superfamily	galactose-3-O-sulfotransferase 1-like-5	FALSE	TRUE	FALSE	0	0
HER_43627.t1	8	0	0	SPU_002874	Sp-Ets1/2	Ets1/2	Ets, SAM/Pointed domain	v-ets erythroblastosis virus E26 oncogene homolog 1/2-like, pointed (pnt) homolog	TRUE	TRUE	FALSE	0	0
HER_43628.t1	8	0	0	SPU_018483	Sp-Erg	Erg	Ets	v-ets oncogene related (Erg)-like, Friend leukemia integration 1 (Fli1)-like	TRUE	TRUE	FALSE	0	0
HER_43628.t2	2	0	0	SPU_018483	Sp-Erg	Erg	Ets	v-ets oncogene related (Erg)-like, Friend leukemia integration 1 (Fli1)-like	TRUE	TRUE	FALSE	0	0
HER_43632.t1	2	0	0	SPU_018482	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_43633.t1	1	0	0	SPU_012446	Sp-Gpr50L_1	Gpr50L_1	7TM GPCR_1 superfamily	G protein-coupled receptor 50-like-1	FALSE	FALSE	FALSE	0	0
HER_43636.t1	5	1	0.2	SPU_012448	Sp-Ovo	Ovo	zf-C2H2	ovo-like, z157	FALSE	TRUE	FALSE	0	0
HER_43640.t1	1	0	0	SPU_023808	Sp-Cyp3L7	Cyp3L7	CYP3	Cytochrome P450 Family 3-like, CYP3, CYP3-like, CYP 3 clan	FALSE	TRUE	FALSE	0	0
HER_43654.t1	1	0	0	SPU_010747	Sp-Copa	Copa	none	coatomer protein complex, subunit alpha 	FALSE	TRUE	FALSE	1	1
HER_43695.t1	1	0	0	SPU_024404	Sp-Tlr129	Tlr129	Toll-like receptor	none	FALSE	TRUE	FALSE	0	0
HER_43698.t1	1	0	0	SPU_024402	Sp-Hyou1	Hyou1	none	hypoxia up-regulated 1	FALSE	TRUE	FALSE	0	0
HER_43708.t1	1	0	0	SPU_008083	Sp-Dpagt1	Dpagt1	none	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (GPT) (G1PT) (N-acetylglucosamine-1-phosphate transferase) (GlcNAc-1-P transferase).	FALSE	FALSE	FALSE	0	0
HER_43728.t1	3	0	0	SPU_005929	Sp-Hypp_1618	Hypp_1618	none	hypothetical protein-1618	FALSE	TRUE	FALSE	0	0
HER_43739.t1	1	0	0	SPU_005861	Sp-Zmym1L_4	Zmym1L_4	hATC superfamily	zinc finger, MYM-type 1-like-4	FALSE	TRUE	FALSE	0	0
HER_43750.t1.1.5f2c6b13	2	0	0	SPU_016022	Sp-Hypp_2243	Hypp_2243	none	hypothetical protein-2243	FALSE	TRUE	FALSE	0	0
HER_43755.t1	1	0	0	SPU_004811	Sp-PolppL_39	PolppL_39	RVP superfamily, RT-like superfamily, rve superfamily, PHD superfamily, metallo dependent hydrolase superfamily	pol polyprotein-like-39	FALSE	TRUE	FALSE	0	0
HER_43758.t1	9	0	0	SPU_014058	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_43759.t1	2	0	0	SPU_024798	Sp-U2af1	U2af1	none	U2 small nuclear RNA auxillary factor 1 isoform a	FALSE	TRUE	FALSE	0	0
HER_43761.t1	3	0	0	SPU_024795	Sp-Hypp_2753	Hypp_2753	TM2 superfamily	hypothetical protein-2753	FALSE	TRUE	FALSE	0	0
HER_43763.t1	1	0	0	SPU_024797	Sp-Trappc4	Trappc4	none	trafficking protein particle complex 4	FALSE	TRUE	FALSE	0	0
HER_43764.t1	1	0	0	SPU_019365	Sp-Z23	Z23	zf-C2H2	zinc finger protein 23	FALSE	FALSE	FALSE	0	0
HER_43765.t1	3	0	0	SPU_019364	none	NA	none	none	FALSE	TRUE	FALSE	2	0.666666666666667
HER_43766.t1	2	1	0.5	SPU_019366	Sp-BsxL1	BsxL1	homeobox-NKL	brain-specific homeobox, bsh homolog, Sp-BsxL	FALSE	TRUE	FALSE	0	0
HER_43769.t1	3	0	0	SPU_027918	Sp-Z288	Z288	zf-C2H2	zinc finger protein 288	FALSE	TRUE	FALSE	0	0
HER_43770.t1	1	0	0	SPU_027919	Sp-Z344	Z344	zf-C2H2	zinc finger protein 344	FALSE	TRUE	FALSE	0	0
HER_43771.t1	4	1	0.25	SPU_014683	Sp-Z492	Z492	zf-C2H2	zinc finger protein 492	FALSE	TRUE	FALSE	0	0
HER_43773.t1	2	0	0	SPU_014684	Sp-Z94	Z94	zf-C2H2	zinc finger protein 94	FALSE	FALSE	FALSE	0	0
HER_43774.t1	1	0	0	SPU_014685	Sp-Z80	Z80	zf-C2H2	zinc finger protein 80	FALSE	TRUE	FALSE	0	0
HER_43776.t1	1	0	0	SPU_014687	Sp-Z310_1	Z310_1	zf-C2H2, SET domain	zinc finger protein 310 (duplicate), Sp-Z494	FALSE	FALSE	FALSE	0	0
HER_43777.t1	3	0	0	SPU_020480	Sp-Z77	Z77	zf-C2H2	zinc finger protein 77	FALSE	TRUE	FALSE	0	0
HER_43778.t1	1	0	0	SPU_002823	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_43780.t1	3	0	0	SPU_007862	Sp-Cblr1	Cblr1	none	Sp-Cbl-related1	FALSE	TRUE	FALSE	0	0
HER_43781.t1	1	0	0	SPU_017206	Sp-Aar2	Aar2	AAR2 protein	AAR2 splicing factor homolog, Sp-C20orf4	FALSE	TRUE	FALSE	0	0
HER_43884.t1	1	0	0	SPU_016234	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_43886.t2	6	0	0	SPU_020006	Sp-Gk	Gk	none	Glycerol kinase (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK) 	FALSE	TRUE	FALSE	1	0.166666666666667
HER_43887.t1	3	0	0	SPU_020005	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_43889.t1	2	0	0	SPU_009991	none	NA	none	none	FALSE	TRUE	FALSE	1	0.5
HER_43914.t1	2	1	0.5	SPU_019462	Sp-Polr2h	Polr2h	polypeptide 17.1 kD, RPB17, RPB8	none	FALSE	FALSE	FALSE	0	0
HER_43915.t1	4	0	0	SPU_016944	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_43919.t1	3	0	0	SPU_026468	Sp-Hypp_2845	Hypp_2845	none	hypothetical protein-2845	FALSE	TRUE	FALSE	0	0
HER_43920.t1	2	0	0	SPU_012449	Sp-Ttc12	Ttc12	none	tetratricopeptide repeat domain 12	FALSE	FALSE	FALSE	0	0
HER_43993.t1	1	0	0	SPU_005598	Sp-Nfrkbl	Nfrkbl	none	nuclear factor related to kappaB binding protein like	FALSE	TRUE	FALSE	0	0
HER_43997.t1	3	1	0.333333333333333	SPU_025777	Sp-Tomm40	Tomm40	Porin3 superfamily	translocase of outer mitochondrial membrane 40 homolog (yeast)	FALSE	TRUE	FALSE	1	0.333333333333333
HER_44000.t1	1	0	0	SPU_010324	Sp-Xrcc1	Xrcc1	none	X-ray repair cross complementing protein 1 	FALSE	TRUE	FALSE	0	0
HER_44016.t1	2	0	0	SPU_014635	Sp-Hypp_2161	Hypp_2161	none	hypothetical protein-2161	FALSE	TRUE	FALSE	0	0
HER_44017.t1	2	0	0	SPU_014083	Sp-Ccdc19	Ccdc19	none	coiled-coil domain containing 19	FALSE	FALSE	FALSE	0	0
HER_39252.t2	1	0	0	SPU_019571	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_44018.t1	3	0	0	SPU_007727	Sp-Mrpl39	Mrpl39	threonyl-tRNA synthetase	mitochondrial ribosomal protein L39	FALSE	TRUE	FALSE	0	0
HER_44019.t1	1	0	0	SPU_013486	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_44021.t1	3	0	0	SPU_019013	Sp-Hypp_2416	Hypp_2416	none	hypothetical protein-2416	FALSE	TRUE	FALSE	0	0
HER_44026.t1	1	1	1	SPU_024506	none	NA	none	none	FALSE	TRUE	FALSE	1	1
HER_44039.t1	5	0	0	SPU_001645	Sp-Dixdc1L	Dixdc1L	none	DIX domain containing 1-like	FALSE	TRUE	FALSE	1	0.2
HER_44108.t1	4	1	0.25	SPU_019385	Sp-Btg4	Btg4	BTG superfamily	B-cell translocation gene 4	FALSE	TRUE	FALSE	0	0
HER_44109.t1	1	0	0	SPU_019384	Sp-Hinfp 	Hinfp 	zf-C2H2	histone H4 transcription factor, MBD2-interacting zinc finger protein, Sp-Z367	FALSE	TRUE	FALSE	0	0
HER_44110.t1	2	0	0	SPU_010962	Sp-Rabac1	Rabac1	PRA1 superfamily	Rab acceptor 1 (prenylated); prenylated Rab acceptor 1	FALSE	TRUE	FALSE	0	0
HER_44112.t1	3	0	0	SPU_025816	Sp-Tbcel_1	Tbcel_1	none	tubulin folding cofactor E-like-1	FALSE	FALSE	FALSE	0	0
HER_44113.t4.1.5f2c6b3e	5	0	0	SPU_025815	Sp-Atp1a3	Atp1a3	none	Sodium/potassium-transporting ATPase alpha-3 chain (Sodium pump 3) (Na+/K+ ATPase 3) (Alpha(III)) 	FALSE	TRUE	FALSE	1	0.2
HER_44130.t1	4	1	0.25	SPU_013487	Sp-Kirrel2L_3	Kirrel2L_3	IG superfamily	kin of IRRE like 2 (Drosophila)-like-3	FALSE	TRUE	FALSE	0	0
HER_44225.t1	1	0	0	SPU_001344	Sp-Pr65a	Pr65a	none	PP2A regulatory subnit A, isoform alpha; alpha isoform of regulatory subunit A, protein phosphatase 2	FALSE	TRUE	FALSE	0	0
HER_44226.t1	1	0	0	SPU_028045	Sp-Z110	Z110	zf-C2H2	zinc finger protein 110	FALSE	FALSE	FALSE	0	0
HER_44242.t1	2	0	0	SPU_022392	Sp-Mael	Mael	HMG-box, Maelstrom 	Maelstrom (Drosophila) homolog, Sp-MaelL	FALSE	TRUE	FALSE	0	0
HER_44243.t1	2	0	0	SPU_027888	Sp-Bace1	Bace1	Asp	beta-site APP-cleaving enzyme 1, beta-secretase 1	FALSE	FALSE	FALSE	0	0
HER_44244.t1	3	0	0	SPU_027889	Sp-Bgal	Bgal	none	beta-galactosidase	FALSE	TRUE	FALSE	0	0
HER_39265.t1	1	0	0	SPU_019570	Sp-Ttll3	Ttll3	TTL superfamily	tubulin tyrosine ligase-like family, member 3	FALSE	TRUE	FALSE	1	1
HER_23584.t1	3	0	0	SPU_028139	Sp-Bcdo2	Bcdo2	none	Beta,beta-carotene 9',10'-dioxygenase (Beta-carotene dioxygenase 2) (B-diox-II)	FALSE	FALSE	FALSE	0	0
HER_23587.t1	6	5	0.833333333333333	SPU_004598	Sp-Pitx3	Pitx3	homeobox-PRD	paired-like homeodomain 3	FALSE	TRUE	FALSE	0	0
HER_23589.t1	7	3	0.428571428571429	SPU_004599	Sp-Pitx2	Pitx2	homeobox-PRD	paired-like homeodomain 2	TRUE	TRUE	FALSE	0	0
HER_23592.t1	3	1	0.333333333333333	SPU_019675	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_23600.t2	3	0	0	SPU_024883	Sp-Ret_1	Ret_1	none	Sp-Cret_1	FALSE	TRUE	FALSE	0	0
HER_23602.t1	3	0	0	SPU_015139	Sp-Tcknr1	Tcknr1	none	Sp-tachykinin-receptor-1	FALSE	FALSE	FALSE	0	0
HER_23604.t1	1	1	1	SPU_015140	Sp-Tcknr2	Tcknr2	none	Sp-tachykinin-receptor-2	FALSE	TRUE	FALSE	0	0
HER_23620.t1	1	0	0	SPU_002210	Sp-Cdk1	Cdk1	serine/threonine kinase	CDC2, Cell Division Cycle 2, EC 2.7.1.37	FALSE	FALSE	FALSE	0	0
HER_23625.t1	2	0	0	SPU_013851	Sp-Nudt13	Nudt13	zf-NADH-PPase superfamily, Nudix_hydrolase superfamily	nudix (nucleoside diphosphate linked moiety X)-type motif 13	FALSE	TRUE	FALSE	0	0
HER_23634.t1	1	0	0	SPU_020968	Sp-MucD	MucD	mucin	none	FALSE	TRUE	FALSE	1	1
HER_23636.t1	1	0	0	SPU_023479	Sp-Hypp_2672	Hypp_2672	7TM GPCR_1 superfamily	hypothetical protein-2672; G-protein coupled receptor-like	FALSE	TRUE	FALSE	0	0
HER_23639.t1	4	0	0	SPU_002209	Sp-Acsl6	Acsl6	none	Long-chain-fatty-acid--CoA ligase 6 (Long-chain acyl-CoA synthetase 6) (LACS 6)	FALSE	TRUE	FALSE	0	0
HER_23640.t1	2	0	0	SPU_014217	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_23646.t1	2	0	0	SPU_023475	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_23651.t1.1.5f2d747c	1	0	0	SPU_006767	Sp-Sar1	Sar1	Ras superfamily, ARF family	Sp-Sar1b, Sp-Sara2, Sar1a gene homolog 2	FALSE	TRUE	FALSE	0	0
HER_23651.t1	1	0	0	SPU_006767	Sp-Sar1	Sar1	Ras superfamily, ARF family	Sp-Sar1b, Sp-Sara2, Sar1a gene homolog 2	FALSE	TRUE	FALSE	0	0
HER_23652.t2	4	0	0	SPU_000559	Sp-Sec24b	Sec24b	zf-Sec23_Sec24 superfamily, Sec24-like superfamily, vWFA superfamily, Sec23_BS superfamily, Sec23_helical superfamily, gelsolin superfamily	SEC24 family, member B (S. cerevisiae)	FALSE	TRUE	FALSE	0	0
HER_23653.t1	2	0	0	SPU_000560	Sp-March8l	March8l	RING-finger superfamily	membrane-associated ring finger (C3HC4) 8, isoform CRA_d	FALSE	TRUE	FALSE	0	0
HER_23654.t1	1	0	0	SPU_000561	Sp-Fut11	Fut11	none	Fucosyltransferase 11 (alpha (1,3) fucosyltransferase)	FALSE	FALSE	FALSE	0	0
HER_23695.t2	2	0	0	SPU_025307	Sp-AdkL1	AdkL1	adenosine kinase 	adenosine kinase-like, Sp-Adk_1	FALSE	TRUE	FALSE	0	0
HER_23695.t1	1	1	1	SPU_025307	Sp-AdkL1	AdkL1	adenosine kinase 	adenosine kinase-like, Sp-Adk_1	FALSE	TRUE	FALSE	0	0
HER_23699.t1	1	0	0	SPU_019394	Sp-Cadherin_3	Cadherin_3	Cadherin	none	FALSE	TRUE	FALSE	0	0
HER_23706.t1	1	0	0	SPU_007409	Sp-Cyp17L1	Cyp17L1	CYP17	Cytochrome P450 Family 17	FALSE	FALSE	FALSE	0	0
HER_23707.t1	2	0	0	SPU_007409	Sp-Cyp17L1	Cyp17L1	CYP17	Cytochrome P450 Family 17	FALSE	FALSE	FALSE	0	0
HER_23708.t1	1	0	0	SPU_007409	Sp-Cyp17L1	Cyp17L1	CYP17	Cytochrome P450 Family 17	FALSE	FALSE	FALSE	0	0
HER_23713.t1	1	0	0	SPU_015194	Sp-Trpc3_1	Trpc3_1	none	transient receptor potential cation channel, subfamily C, member 3	FALSE	TRUE	FALSE	0	0
HER_23714.t1	1	0	0	SPU_021185	Sp-Cyp17r3	Cyp17r3	CYP17	Cytochrome P450 Family 17, CYP17, CYP2, CYP1, CYP2 clan	FALSE	FALSE	FALSE	0	0
HER_23716.t1	1	0	0	SPU_021187	Sp-Hypp_2541	Hypp_2541	7TM GPCR_1 superfamily	hypothetical protein-2541; G protein-coupled receptor-like	FALSE	FALSE	FALSE	0	0
HER_23717.t1	1	0	0	SPU_021187	Sp-Hypp_2541	Hypp_2541	7TM GPCR_1 superfamily	hypothetical protein-2541; G protein-coupled receptor-like	FALSE	FALSE	FALSE	0	0
HER_23718.t1	2	0	0	SPU_021189	Sp-Ddesat	Ddesat	AAT_I superfamily	DegT/DnrJ/EryC1/StrS aminotransferase family protein	FALSE	TRUE	FALSE	0	0
HER_23721.t1	1	0	0	SPU_014538	Sp-Drd2L_18	Drd2L_18	7TM GPCR_1 superfamily	dopamine receptor D2-like-18	FALSE	FALSE	FALSE	0	0
HER_23723.t1	3	0	0	SPU_002444	Sp-Syt9L	Syt9L	RING-finger superfamily, C2 superfamily	synaptotagmin IX-like	FALSE	FALSE	FALSE	0	0
HER_23725.t1	3	0	0	SPU_006585	Sp-Man2b1	Man2b1	none	Lysosomal alpha-mannosidase precursor (Mannosidase, alpha B) (Lysosomal acid alpha-mannosidase) (Laman) (Mannosidase alpha class 2B member 1) [Contains: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	FALSE	TRUE	FALSE	1	0.333333333333333
HER_23727.t1	6	1	0.166666666666667	SPU_008152	Sp-Cyp2L16	Cyp2L16	CYP2	Cytochrome P450 Family 2 like, CYP2	FALSE	TRUE	FALSE	0	0
HER_23734.t1	3	1	0.333333333333333	SPU_011725	Sp-Tm9sf3	Tm9sf3	none	transmembrane 9 superfamily member 3 	FALSE	FALSE	FALSE	0	0
HER_23735.t1	2	0	0	SPU_010777	Sp-Fadd	Fadd	TNFR superfamily	none	FALSE	TRUE	FALSE	0	0
HER_23738.t2	17	0	0	SPU_010776	Sp-Unc5	Unc5	UNC5 family 	Netrin receptor UNC5	FALSE	TRUE	FALSE	1	0.0588235294117647
HER_23738.t3	11	1	0.0909090909090909	SPU_010776	Sp-Unc5	Unc5	UNC5 family 	Netrin receptor UNC5	FALSE	TRUE	FALSE	0	0
HER_23749.t1	2	0	0	SPU_018723	Sp-Sirt1	Sirt1	none	NAD-dependent deacetylase sirtuin-1 (SIR2-like protein 1)	FALSE	TRUE	FALSE	0	0
HER_23750.t1	1	0	0	SPU_001450	Sp-Rfp150L	Rfp150L	PA superfamily, RING-finger superfamily	ring finger protein 150	FALSE	FALSE	FALSE	0	0
HER_23753.t1	1	0	0	SPU_011726	Sp-Hypp_656	Hypp_656	EMP70 superfamily	hypothetical protein-656; transmembrane 9 superfamily member 3-like	FALSE	TRUE	FALSE	0	0
HER_23754.t1	1	0	0	SPU_011726	Sp-Hypp_656	Hypp_656	EMP70 superfamily	hypothetical protein-656; transmembrane 9 superfamily member 3-like	FALSE	TRUE	FALSE	0	0
HER_23757.t1	4	0	0	SPU_010857	Sp-Ncoa4	Ncoa4	BBC superfamily	nuclear receptor coactivator 4	FALSE	TRUE	FALSE	0	0
HER_23758.t1	2	0	0	SPU_010551	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_23763.t1	5	1	0.2	SPU_016418	Sp-Herc4	Herc4	RCC1 superfamily, HECTc superfamily	hect domain and RLD 4; probable E3 ubiquitin-protein ligase HERC4	FALSE	FALSE	FALSE	0	0
HER_23765.t1	2	0	0	SPU_028049	Sp-Cub/Clect/Ldla/Lrr/Gpcr	Cub/Clect/Ldla/Lrr/Gpcr	GPCR	none	FALSE	TRUE	FALSE	0	0
HER_23769.t1	4	0	0	SPU_028047	Sp-Hypp_3027	Hypp_3027	none	hypothetical protein-3027	FALSE	TRUE	FALSE	0	0
HER_23773.t1	1	0	0	SPU_006737	Sp-Opsin5	Opsin5	Opsin	Rhodopsin	FALSE	TRUE	FALSE	0	0
HER_23780.t1	2	0	0	SPU_007207	Sp-Hypp_1705	Hypp_1705	none	hypothetical protein-1705	FALSE	TRUE	FALSE	0	0
HER_23781.t1	1	0	0	SPU_018351	Sp-PaxB	PaxB	homeobox-PRD	paired box B, suPaxB	FALSE	TRUE	FALSE	0	0
HER_23781.t1.1.5f2c6b19	6	0	0	SPU_018351	Sp-PaxB	PaxB	homeobox-PRD	paired box B, suPaxB	FALSE	TRUE	FALSE	0	0
HER_23783.t1	8	1	0.125	SPU_016626	Sp-Sec24c_1	Sec24c_1	Sec23_BS superfamily, Sec23_helical superfamily, gelsolin superfamily	SEC24 family, member C (S. cerevisiae)-1	FALSE	TRUE	FALSE	0	0
HER_23784.t1	3	0	0	SPU_005715	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_23794.t1	2	1	0.5	SPU_011705	Sp-Ppm1k	Ppm1k	PPM serine threonine phosphatase	Protein phosphatase magnesium-dependent 1 kappa	FALSE	TRUE	FALSE	0	0
HER_23795.t1	2	0	0	SPU_017157	Sp-Ghitm	Ghitm	BI-1-like superfamily	growth hormone inducible transmembrane protein	FALSE	FALSE	FALSE	0	0
HER_23796.t1	2	0	0	SPU_017158	Sp-Atad1	Atad1	none	ATPase family AAA domain-containing protein 1	FALSE	FALSE	FALSE	0	0
HER_23797.t1	2	0	0	SPU_017159	Sp-Galnact2	Galnact2	none	Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2 (GalNAcT-2) (beta4GalNAcT-2)	FALSE	TRUE	FALSE	0	0
HER_23798.t1	3	0	0	SPU_017159	Sp-Galnact2	Galnact2	none	Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2 (GalNAcT-2) (beta4GalNAcT-2)	FALSE	TRUE	FALSE	0	0
HER_23799.t2	8	0	0	SPU_001031	Sp-Zmiz1L	Zmiz1L	none	zinc finger, MIZ-type containing 1-like; retinoic acid induced 17-like	FALSE	TRUE	FALSE	1	0.125
HER_23805.t1.1.5f2c6b1a	3	0	0	SPU_005480	Sp-Camk2a_1	Camk2a_1	NTF2-like superfamily	calcium/calmodulin-dependent kinase II alpha protein-1	FALSE	FALSE	FALSE	0	0
HER_23808.t1	4	1	0.25	SPU_007147	Sp-Ngn	Ngn	bHLH	neurogenin, Neurog1/2/3-like, Sp-Neurog	TRUE	FALSE	FALSE	0	0
HER_23810.t1	1	1	1	SPU_012626	Sp-Lhh2bd	Lhh2bd	histone	none	FALSE	TRUE	FALSE	0	0
HER_23817.t1	2	2	1	SPU_010554	Sp-Sarl/CoAds	Sarl/CoAds	acetyl-CoA desaturase	Delta-9-destaurase	FALSE	TRUE	TRUE	0	0
HER_23830.t1	2	0	0	SPU_027608	none	NA	none	none	FALSE	FALSE	FALSE	0	0
HER_23831.t1	3	0	0	SPU_017923	Sp-C10orf58L	C10orf58L	thioredoxin-like superfamily	human chromosome 10 open reading frame 58-like	FALSE	FALSE	FALSE	0	0
HER_23834.t1	2	0	0	SPU_002389	Sp-Cox18h	Cox18h	60kD_IMP superfamily	COX18 cytochrome c oxidase assembly homolog	FALSE	TRUE	FALSE	0	0
HER_23835.t1	1	0	0	SPU_002386	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_23836.t1	6	0	0	SPU_002387	Sp-Gbf1L	Gbf1L	none	golgi-specific brefeldin A resistance factor 1	FALSE	FALSE	FALSE	0	0
HER_23837.t2	3	0	0	SPU_002388	Sp-Pik3ap1L	Pik3ap1L	none	phosphoinositide-3-kinase adaptor protein 1-like	FALSE	FALSE	FALSE	0	0
HER_23840.t1	8	0	0	SPU_010404	Sp-Irf	Irf	IRF	interferon regulatory factor, Sp-irf1	FALSE	FALSE	FALSE	0	0
HER_23841.t1	5	1	0.2	SPU_025416	Sp-Ddx50	Ddx50	DEXDc superfamily, GUCT superfamily	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50; nucleolar protein GU2; ATP-dependent RNA helicase DDX50	FALSE	TRUE	FALSE	2	0.4
HER_23842.t1	10	0	0	SPU_025415	Sp-Hypp_1146	Hypp_1146	none	hypothetical protein-1146; myeloid leukemia factor 1 interacting protein-like	FALSE	TRUE	FALSE	0	0
HER_23847.t1	11	0	0	SPU_010405	Sp-Znf503	Znf503	none	zinc finger protein 503	FALSE	FALSE	FALSE	0	0
HER_39288.t1.1.5f2c686b	3	0	0	SPU_024828	none	NA	none	none	FALSE	FALSE	FALSE	0	0
